region,tpp_pop_all,Total,nuts118cd,tpp_cov_all
East,5628115,6269160,UKH,89.77462690376382
East Midlands,4174860,4865585,UKF,85.80386531115991
London,1679270,9002490,UKI,18.653394782998927
North East,1154530,2680765,UKC,43.067184180635
North West,2072035,7367455,UKD,28.12416227856159
South East,1619390,9217265,UKJ,17.56909451990368
South West,3299385,5659145,UKK,58.30182827971363
West Midlands,990720,5961930,UKG,16.61743764183746
Yorkshire and The Humber,3458055,5526350,UKE,62.57394120893537
