age,sex,n,cohort,Percentage
81,Females,173173,ONS,0.61
81,Males,139908,ONS,0.5
82,Females,164396,ONS,0.58
82,Males,130442,ONS,0.47000000000000003
83,Females,153030,ONS,0.54
83,Males,118033,ONS,0.42
84,Females,140983,ONS,0.49
84,Males,105446,ONS,0.38
85,Females,129198,ONS,0.44999999999999996
85,Males,93860,ONS,0.33999999999999997
86,Females,114852,ONS,0.4
86,Males,80158,ONS,0.29
87,Females,104116,ONS,0.36
87,Males,69745,ONS,0.25
88,Females,95623,ONS,0.33
88,Males,60874,ONS,0.22
89,Females,85372,ONS,0.3
89,Males,51545,ONS,0.18
90+,Females,351519,ONS,1.23
90+,Males,169548,ONS,0.61
0,Females,97242,TPP,0.8099999999999999
0,Males,102032,TPP,0.8500000000000001
0,Unknown,NA,TPP,NA
1,Females,119517,TPP,0.9900000000000001
1,I,NA,TPP,NA
1,Males,126025,TPP,1.05
1,Unknown,NA,TPP,NA
2,Females,126048,TPP,1.05
2,Males,132552,TPP,1.0999999999999999
2,Unknown,NA,TPP,NA
3,Females,130550,TPP,1.08
3,Males,137223,TPP,1.1400000000000001
3,Unknown,NA,TPP,NA
4,Females,132182,TPP,1.0999999999999999
4,I,NA,TPP,NA
4,Males,139665,TPP,1.16
4,Unknown,NA,TPP,NA
5,Females,134057,TPP,1.11
5,Males,141162,TPP,1.17
5,Unknown,NA,TPP,NA
6,Females,135109,TPP,1.1199999999999999
6,Males,142537,TPP,1.1900000000000002
7,Females,141601,TPP,1.18
7,I,NA,TPP,NA
7,Males,149313,TPP,1.24
7,Unknown,NA,TPP,NA
8,Females,141810,TPP,1.18
8,Males,149361,TPP,1.24
8,Unknown,NA,TPP,NA
9,Females,142390,TPP,1.18
9,Males,150173,TPP,1.25
9,Unknown,NA,TPP,NA
10,Females,141074,TPP,1.17
10,I,NA,TPP,NA
10,Males,147931,TPP,1.23
10,Unknown,NA,TPP,NA
11,Females,141083,TPP,1.17
11,I,NA,TPP,NA
11,Males,147870,TPP,1.23
11,Unknown,NA,TPP,NA
12,Females,137512,TPP,1.1400000000000001
12,I,NA,TPP,NA
12,Males,144912,TPP,1.2
12,Unknown,19,TPP,6.529999999999999
13,Females,134623,TPP,1.1199999999999999
13,I,NA,TPP,NA
13,Males,141181,TPP,1.17
13,Unknown,13,TPP,4.47
14,Females,130818,TPP,1.09
14,I,NA,TPP,NA
14,Males,136339,TPP,1.13
14,Unknown,NA,TPP,NA
15,Females,129053,TPP,1.0699999999999998
15,I,7,TPP,2.8899999999999997
15,Males,136273,TPP,1.13
15,Unknown,11,TPP,3.7800000000000002
16,Females,126742,TPP,1.05
16,I,11,TPP,4.55
16,Males,133877,TPP,1.11
16,Unknown,11,TPP,3.7800000000000002
17,Females,123430,TPP,1.03
17,I,10,TPP,4.130000000000001
17,Males,129622,TPP,1.08
17,Unknown,13,TPP,4.47
18,Females,121580,TPP,1.01
18,I,9,TPP,3.7199999999999998
18,Males,128640,TPP,1.0699999999999998
18,Unknown,11,TPP,3.7800000000000002
19,Females,125114,TPP,1.04
19,I,NA,TPP,NA
19,Males,130329,TPP,1.08
19,Unknown,13,TPP,4.47
20,Females,129804,TPP,1.08
20,I,12,TPP,4.96
20,Males,134386,TPP,1.1199999999999999
20,Unknown,14,TPP,4.81
21,Females,137369,TPP,1.1400000000000001
21,I,10,TPP,4.130000000000001
21,Males,139037,TPP,1.16
21,Unknown,14,TPP,4.81
22,Females,144418,TPP,1.2
22,I,8,TPP,3.3099999999999996
22,Males,144022,TPP,1.2
22,Unknown,13,TPP,4.47
23,Females,151299,TPP,1.26
23,I,10,TPP,4.130000000000001
23,Males,147783,TPP,1.23
23,Unknown,14,TPP,4.81
24,Females,154210,TPP,1.28
24,I,7,TPP,2.8899999999999997
24,Males,149748,TPP,1.25
24,Unknown,NA,TPP,NA
25,Females,155325,TPP,1.29
25,I,12,TPP,4.96
25,Males,154136,TPP,1.28
25,Unknown,10,TPP,3.44
26,Females,157062,TPP,1.31
26,I,8,TPP,3.3099999999999996
26,Males,158337,TPP,1.32
26,Unknown,NA,TPP,NA
27,Females,163949,TPP,1.3599999999999999
27,I,NA,TPP,NA
27,Males,164143,TPP,1.3599999999999999
27,Unknown,NA,TPP,NA
28,Females,166793,TPP,1.39
28,I,NA,TPP,NA
28,Males,166950,TPP,1.39
28,Unknown,NA,TPP,NA
29,Females,172057,TPP,1.43
29,I,7,TPP,2.8899999999999997
29,Males,172223,TPP,1.43
29,Unknown,8,TPP,2.75
30,Females,170546,TPP,1.4200000000000002
30,I,NA,TPP,NA
30,Males,171543,TPP,1.43
30,Unknown,NA,TPP,NA
31,Females,173794,TPP,1.44
31,I,NA,TPP,NA
31,Males,173971,TPP,1.4500000000000002
31,Unknown,NA,TPP,NA
32,Females,172860,TPP,1.44
