group,Ethnic_Group,cohort,N,Total,region,percentage
16_2001,African,ONS,977740,53012455,England,1.8443590284585007
16_2001,African,TPP,330955,21707325,England,1.5246236005587976
16_2001,Any other ethnic group,ONS,548420,53012455,England,1.034511606753545
16_2001,Any other ethnic group,TPP,407935,21707325,England,1.8792504373523682
16_2001,Bangladeshi,ONS,436515,53012455,England,0.8234197039167495
16_2001,Bangladeshi,TPP,124820,21707325,England,0.5750132731693104
16_2001,British,ONS,42279235,53012455,England,79.75339946056073
16_2001,British,TPP,16271945,21707325,England,74.96061813235855
16_2001,Caribbean,ONS,591015,53012455,England,1.1148606492568587
16_2001,Caribbean,TPP,123545,21707325,England,0.5691396798085439
16_2001,Chinese,ONS,379505,53012455,England,0.7158789382608295
16_2001,Chinese,TPP,154975,21707325,England,0.7139295145763008
16_2001,Indian,ONS,1395700,53012455,England,2.6327775236970257
16_2001,Indian,TPP,670370,21707325,England,3.0882202205937395
16_2001,Irish,ONS,517000,53012455,England,0.9752425161219189
16_2001,Irish,TPP,113610,21707325,England,0.5233717189934735
16_2001,Other Asian,ONS,819400,53012455,England,1.5456745023410066
16_2001,Other Asian,TPP,365895,21707325,England,1.6855830923432527
16_2001,Other Black,ONS,277855,53012455,England,0.5241315460678062
16_2001,Other Black,TPP,128105,21707325,England,0.5901464137105792
16_2001,Other Mixed,ONS,283005,53012455,England,0.5338462442458097
16_2001,Other Mixed,TPP,155015,21707325,England,0.7141137841719327
16_2001,Other White,ONS,2484905,53012455,England,4.68739846136158
16_2001,Other White,TPP,2062520,21707325,England,9.501493159567104
16_2001,Pakistani,ONS,1112280,53012455,England,2.098148444549493
16_2001,Pakistani,TPP,551990,21707325,England,2.542874352321163
16_2001,White and Asian,ONS,332710,53012455,England,0.6276072292822508
16_2001,White and Asian,TPP,84530,21707325,England,0.38940772296908993
16_2001,White and Black African,ONS,161550,53012455,England,0.3047397069235899
16_2001,White and Black African,TPP,69245,21707325,England,0.31899370373825425
16_2001,White and Black Caribbean,ONS,415615,53012455,England,0.7839950064565017
16_2001,White and Black Caribbean,TPP,91865,21707325,England,0.4231981600680876
5_2001,Asian,ONS,3763900,53012455,England,7.100029606250079
5_2001,Asian,TPP,1713120,21707220,England,7.89193641562577
5_2001,Black,ONS,1846615,53012455,England,3.483360655528969
5_2001,Black,TPP,582640,21707220,England,2.684083913094353
5_2001,Mixed/multiple ethnic groups,ONS,1192880,53012455,England,2.250188186908152
5_2001,Mixed/multiple ethnic groups,TPP,400655,21707220,England,1.845722298848033
5_2001,Other,ONS,927920,53012455,England,1.7503811132685707
5_2001,Other,TPP,562830,21707220,England,2.592823954426223
5_2001,White,ONS,45281140,53012455,England,85.41604043804423
5_2001,White,TPP,18447975,21707220,England,84.98543341800561
16_2001,African,TPP,89945,5057845,East,1.7783265402557809
16_2001,Any other ethnic group,TPP,73500,5057845,East,1.453188067249985
16_2001,Bangladeshi,TPP,37775,5057845,East,0.7468595815016079
16_2001,British,TPP,3832390,5057845,East,75.77120295303632
16_2001,Caribbean,TPP,25685,5057845,East,0.5078249728886511
16_2001,Chinese,TPP,34045,5057845,East,0.6731127584969487
16_2001,Indian,TPP,101510,5057845,East,2.0069812341026663
16_2001,Irish,TPP,30700,5057845,East,0.6069778729874087
16_2001,Other Asian,TPP,68015,5057845,East,1.344742672027316
16_2001,Other Black,TPP,31835,5057845,East,0.6294182601483438
16_2001,Other Mixed,TPP,37560,5057845,East,0.7426087592640739
16_2001,Other White,TPP,547750,5057845,East,10.829711072601079
16_2001,Pakistani,TPP,84595,5057845,East,1.6725502659729587
16_2001,White and Asian,TPP,19925,5057845,East,0.393942479455183
16_2001,White and Black African,TPP,20755,5057845,East,0.4103526304186862
16_2001,White and Black Caribbean,TPP,21870,5057845,East,0.4323975922551996
16_2001,African,TPP,55995,3773985,East Midlands,1.4837101896271447
16_2001,Any other ethnic group,TPP,59010,3773985,East Midlands,1.563599219392764
16_2001,Bangladeshi,TPP,14050,3773985,East Midlands,0.37228552842684853
16_2001,British,TPP,2850540,3773985,East Midlands,75.53130179372732
16_2001,Caribbean,TPP,20255,3773985,East Midlands,0.5367005963192752
16_2001,Chinese,TPP,23985,3773985,East Midlands,0.6355351173891789
16_2001,Indian,TPP,198450,3773985,East Midlands,5.258367481587765
16_2001,Irish,TPP,15290,3773985,East Midlands,0.4051420448146985
16_2001,Other Asian,TPP,51825,3773985,East Midlands,1.3732169046776816
16_2001,Other Black,TPP,20925,3773985,East Midlands,0.5544537140449683
16_2001,Other Mixed,TPP,24280,3773985,East Midlands,0.6433517886266109
16_2001,Other White,TPP,340620,3773985,East Midlands,9.025473074217306
16_2001,Pakistani,TPP,52125,3773985,East Midlands,1.3811660618682904
16_2001,White and Asian,TPP,13970,3773985,East Midlands,0.3701657531760195
16_2001,White and Black African,TPP,11055,3773985,East Midlands,0.2929264424739367
16_2001,White and Black Caribbean,TPP,21605,3773985,East Midlands,0.5724718036770151
16_2001,African,TPP,70360,1516490,London,4.639661323187096
16_2001,Any other ethnic group,TPP,118930,1516490,London,7.842451977922702
16_2001,Bangladeshi,TPP,17940,1516490,London,1.1829949422680004
16_2001,British,TPP,394375,1516490,London,26.005776497042515
16_2001,Caribbean,TPP,31095,1516490,London,2.0504586248508065
16_2001,Chinese,TPP,34380,1516490,London,2.267077263945031
16_2001,Indian,TPP,171355,1516490,London,11.299448067577103
16_2001,Irish,TPP,23605,1516490,London,1.5565549393665636
16_2001,Other Asian,TPP,117520,1516490,London,7.7494741145671915
16_2001,Other Black,TPP,29735,1516490,London,1.9607778488483274
16_2001,Other Mixed,TPP,32435,1516490,London,2.1388205659120736
16_2001,Other White,TPP,391550,1516490,London,25.819491061596185
16_2001,Pakistani,TPP,53450,1516490,London,3.5245863803915625
16_2001,White and Asian,TPP,11300,1516490,London,0.7451417417853068
16_2001,White and Black African,TPP,8740,1516490,London,0.5763308693100515
16_2001,White and Black Caribbean,TPP,9720,1516490,London,0.6409537814294852
16_2001,African,TPP,12880,1063600,North East,1.2109815720195563
16_2001,Any other ethnic group,TPP,19090,1063600,North East,1.7948476871004138
16_2001,Bangladeshi,TPP,3010,1063600,North East,0.28300112824370066
16_2001,British,TPP,883360,1063600,North East,83.05377961639714
16_2001,Caribbean,TPP,3090,1063600,North East,0.29052275291462953
16_2001,Chinese,TPP,6760,1063600,North East,0.6355772846934938
16_2001,Indian,TPP,7315,1063600,North East,0.6877585558480632
16_2001,Irish,TPP,2860,1063600,North East,0.2688980819857089
16_2001,Other Asian,TPP,11545,1063600,North East,1.08546446032343
16_2001,Other Black,TPP,3475,1063600,North East,0.326720571643475
16_2001,Other Mixed,TPP,5355,1063600,North East,0.5034787514103046
16_2001,Other White,TPP,65060,1063600,North East,6.116961263632945
16_2001,Pakistani,TPP,29525,1063600,North East,2.775949605114705
16_2001,White and Asian,TPP,3525,1063600,North East,0.33142158706280556
16_2001,White and Black African,TPP,2785,1063600,North East,0.26184655885671304
16_2001,White and Black Caribbean,TPP,3970,1063600,North East,0.3732606242948477
16_2001,African,TPP,11060,1896535,North West,0.583168778851959
16_2001,Any other ethnic group,TPP,19355,1896535,North West,1.0205453629909282
16_2001,Bangladeshi,TPP,7315,1896535,North West,0.3857034012027197
16_2001,British,TPP,1680595,1896535,North West,88.61397232321049
16_2001,Caribbean,TPP,1070,1896535,North West,0.05641867932835408
16_2001,Chinese,TPP,8605,1896535,North West,0.45372218282288496
16_2001,Indian,TPP,20050,1896535,North West,1.0571911406855132
16_2001,Irish,TPP,5410,1896535,North West,0.28525706090317343
16_2001,Other Asian,TPP,16685,1896535,North West,0.8797623033584933
16_2001,Other Black,TPP,3390,1896535,North West,0.17874703076927134
16_2001,Other Mixed,TPP,6620,1896535,North West,0.3490576235081346
16_2001,Other White,TPP,84975,1896535,North West,4.480539510212045
16_2001,Pakistani,TPP,22330,1896535,North West,1.1774103826188285
16_2001,White and Asian,TPP,4610,1896535,North West,0.243074870751133
16_2001,White and Black African,TPP,2750,1896535,North West,0.14500127864763898
16_2001,White and Black Caribbean,TPP,1710,1896535,North West,0.09016443144998643
16_2001,African,TPP,13945,1419995,South East,0.9820457114285613
16_2001,Any other ethnic group,TPP,25750,1419995,South East,1.8133866668544607
16_2001,Bangladeshi,TPP,7205,1419995,South East,0.5073961528033549
16_2001,British,TPP,1144995,1419995,South East,80.63373462582615
16_2001,Caribbean,TPP,2640,1419995,South East,0.18591614759206898
16_2001,Chinese,TPP,9715,1419995,South East,0.6841573385821781
16_2001,Indian,TPP,20510,1419995,South East,1.4443712829974753
16_2001,Irish,TPP,7740,1419995,South East,0.5450723418040204
16_2001,Other Asian,TPP,18075,1419995,South East,1.2728918059570633
16_2001,Other Black,TPP,5520,1419995,South East,0.3887337631470533
16_2001,Other Mixed,TPP,10870,1419995,South East,0.7654956531537083
16_2001,Other White,TPP,129585,1419995,South East,9.125736358226613
16_2001,Pakistani,TPP,9535,1419995,South East,0.6714812376099916
16_2001,White and Asian,TPP,5700,1419995,South East,0.40140986411923985
16_2001,White and Black African,TPP,4830,1419995,South East,0.34014204275367166
16_2001,White and Black Caribbean,TPP,3375,1419995,South East,0.23767689322849728
16_2001,African,TPP,12630,2936115,South West,0.43016026279624603
16_2001,Any other ethnic group,TPP,26935,2936115,South West,0.917368699795478
16_2001,Bangladeshi,TPP,5115,2936115,South West,0.17420979764076
16_2001,British,TPP,2558900,2936115,South West,87.15258087643025
16_2001,Caribbean,TPP,4495,2936115,South West,0.15309345853278908
16_2001,Chinese,TPP,14345,2936115,South West,0.48857078145781074
16_2001,Indian,TPP,29080,2936115,South West,0.9904244213867646
16_2001,Irish,TPP,11110,2936115,South West,0.37839117337025285
16_2001,Other Asian,TPP,23130,2936115,South West,0.7877756831731727
16_2001,Other Black,TPP,5840,2936115,South West,0.19890229095250017
16_2001,Other Mixed,TPP,13775,2936115,South West,0.46915737292306325
16_2001,Other White,TPP,205045,2936115,South West,6.983547987732088
16_2001,Pakistani,TPP,4470,2936115,South West,0.15224199324617735
16_2001,White and Asian,TPP,8725,2936115,South West,0.29716138502749384
16_2001,White and Black African,TPP,5640,2936115,South West,0.1920905686596063
16_2001,White and Black Caribbean,TPP,6885,2936115,South West,0.23449353993287048
16_2001,African,TPP,25955,902795,West Midlands,2.874960539214329
16_2001,Any other ethnic group,TPP,20075,902795,West Midlands,2.223649887294458
16_2001,Bangladeshi,TPP,15350,902795,West Midlands,1.7002752562874184
16_2001,British,TPP,520445,902795,West Midlands,57.648192557557365
16_2001,Caribbean,TPP,24845,902795,West Midlands,2.7520090385968023
16_2001,Chinese,TPP,9850,902795,West Midlands,1.0910561090834574
16_2001,Indian,TPP,65075,902795,West Midlands,7.208170182599593
16_2001,Irish,TPP,6810,902795,West Midlands,0.7543240713561772
16_2001,Other Asian,TPP,21985,902795,West Midlands,2.4352150820507426
16_2001,Other Black,TPP,15760,902795,West Midlands,1.745689774533532
16_2001,Other Mixed,TPP,9190,902795,West Midlands,1.0179498114189822
16_2001,Other White,TPP,76405,902795,West Midlands,8.463161625839753
16_2001,Pakistani,TPP,70210,902795,West Midlands,7.776959331852747
16_2001,White and Asian,TPP,5285,902795,West Midlands,0.5854042169041699
16_2001,White and Black African,TPP,3660,902795,West Midlands,0.4054076506848177
16_2001,White and Black Caribbean,TPP,11890,902795,West Midlands,1.3170210291372904
16_2001,African,TPP,37850,3131760,Yorkshire and The Humber,1.2085855876567808
16_2001,Any other ethnic group,TPP,45130,3131760,Yorkshire and The Humber,1.4410427363527218
16_2001,Bangladeshi,TPP,17040,3131760,Yorkshire and The Humber,0.5441029963981914
16_2001,British,TPP,2400330,3131760,Yorkshire and The Humber,76.64476205073186
16_2001,Caribbean,TPP,10245,3131760,Yorkshire and The Humber,0.327132347306307
16_2001,Chinese,TPP,13280,3131760,Yorkshire and The Humber,0.42404271080798017
16_2001,Indian,TPP,56915,3131760,Yorkshire and The Humber,1.8173487112677855
16_2001,Irish,TPP,10070,3131760,Yorkshire and The Humber,0.32154443507803915
16_2001,Other Asian,TPP,37010,3131760,Yorkshire and The Humber,1.1817636089610954
16_2001,Other Black,TPP,11505,3131760,Yorkshire and The Humber,0.36736531534983524
16_2001,Other Mixed,TPP,14820,3131760,Yorkshire and The Humber,0.47321633841673694
16_2001,Other White,TPP,221075,3131760,Yorkshire and The Humber,7.0591296906531795
16_2001,Pakistani,TPP,225445,3131760,Yorkshire and The Humber,7.19866784172478
16_2001,White and Asian,TPP,11470,3131760,Yorkshire and The Humber,0.36624773290418167
16_2001,White and Black African,TPP,8945,3131760,Yorkshire and The Humber,0.2856221421820318
16_2001,White and Black Caribbean,TPP,10635,3131760,Yorkshire and The Humber,0.33958540884358956
16_2001,African,TPP,330,8205,NA,4.021937842778794
16_2001,Any other ethnic group,TPP,155,8205,NA,1.8890920170627667
16_2001,Bangladeshi,TPP,20,8205,NA,0.2437538086532602
16_2001,British,TPP,6020,8205,NA,73.36989640463132
16_2001,Caribbean,TPP,135,8205,NA,1.6453382084095063
16_2001,Chinese,TPP,15,8205,NA,0.18281535648994515
16_2001,Indian,TPP,105,8205,NA,1.2797074954296161
16_2001,Irish,TPP,20,8205,NA,0.2437538086532602
16_2001,Other Asian,TPP,100,8205,NA,1.218769043266301
16_2001,Other Black,TPP,120,8205,NA,1.4625228519195612
16_2001,Other Mixed,TPP,105,8205,NA,1.2797074954296161
16_2001,Other White,TPP,455,8205,NA,5.545399146861669
16_2001,Pakistani,TPP,300,8205,NA,3.656307129798903
16_2001,White and Asian,TPP,25,8205,NA,0.30469226081657524
16_2001,White and Black African,TPP,90,8205,NA,1.0968921389396709
16_2001,White and Black Caribbean,TPP,210,8205,NA,2.5594149908592323
5_2001,Asian,TPP,291885,5057835,East,5.770947450836178
5_2001,Black,TPP,147475,5057835,East,2.915773250807905
5_2001,Mixed/multiple ethnic groups,TPP,100110,5057835,East,1.9793053747304925
5_2001,Other,TPP,107535,5057835,East,2.1261073166681
5_2001,White,TPP,4410835,5057835,East,87.20796546348389
5_2001,Asian,TPP,316445,3773945,East Midlands,8.384992362103846
5_2001,Black,TPP,97170,3773945,East Midlands,2.5747593035934546
5_2001,Mixed/multiple ethnic groups,TPP,70920,3773945,East Midlands,1.879200677275371
5_2001,Other,TPP,82960,3773945,East Midlands,2.198230233879932
5_2001,White,TPP,3206450,3773945,East Midlands,84.9628174231474
5_2001,Asian,TPP,360290,1516475,London,23.758387048912773
5_2001,Black,TPP,131195,1516475,London,8.651313078026345
5_2001,Mixed/multiple ethnic groups,TPP,62200,1516475,London,4.101617237343181
5_2001,Other,TPP,153295,1516475,London,10.108640102870142
5_2001,White,TPP,809495,1516475,London,53.38004253284756
5_2001,Asian,TPP,51395,1063605,North East,4.832151033513381
5_2001,Black,TPP,19450,1063605,North East,1.8286864014366238
5_2001,Mixed/multiple ethnic groups,TPP,15625,1063605,North East,1.4690604124651538
5_2001,Other,TPP,25840,1063605,North East,2.429473347718373
5_2001,White,TPP,951290,1063605,North East,89.44015870553447
5_2001,Asian,TPP,66385,1896550,North West,3.5003031820938015
5_2001,Black,TPP,15525,1896550,North West,0.8185916532651393
5_2001,Mixed/multiple ethnic groups,TPP,15710,1896550,North West,0.8283462075874614
5_2001,Other,TPP,27965,1896550,North West,1.4745195222904748
5_2001,White,TPP,1770965,1896550,North West,93.37823943476312
5_2001,Asian,TPP,55335,1419975,South East,3.896899593302699
5_2001,Black,TPP,22110,1419975,South East,1.5570696667194845
5_2001,Mixed/multiple ethnic groups,TPP,24775,1419975,South East,1.7447490272716069
5_2001,Other,TPP,35440,1419975,South East,2.495818588355429
5_2001,White,TPP,1282315,1419975,South East,90.30546312435078
5_2001,Asian,TPP,61800,2936120,South West,2.1048186041442447
5_2001,Black,TPP,22965,2936120,South West,0.7821546803264172
5_2001,Mixed/multiple ethnic groups,TPP,35030,2936120,South West,1.1930711278830566
5_2001,Other,TPP,41285,2936120,South West,1.4061073798073647
5_2001,White,TPP,2775040,2936120,South West,94.51384820783892
5_2001,Asian,TPP,172650,902775,West Midlands,19.12436653651242
5_2001,Black,TPP,66555,902775,West Midlands,7.37226883775027
5_2001,Mixed/multiple ethnic groups,TPP,30010,902775,West Midlands,3.3241948436764424
5_2001,Other,TPP,29920,902775,West Midlands,3.3142255822325604
5_2001,White,TPP,603640,902775,West Midlands,66.8649441998283
