"Mid-year population estimates in deprivation decile areas by sex and single year of age, England, 20201,2,3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deprivation Decile (IMD 2020),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+
Males,1,39737,41655,43039,45260,45647,45480,45560,46097,46898,45334,44433,43557,43536,41720,40577,38013,36798,36004,35496,36533,36655,36588,37002,37790,38364,39803,42005,42274,43195,44676,44907,42953,42253,40559,41271,41567,39410,38883,37858,37358,37241,35030,32329,31511,31941,32241,31926,33014,34093,34635,34390,34497,34484,34420,33449,33709,33245,32213,31463,29593,29034,27915,27231,25892,24501,23295,22634,21870,21085,20223,19588,18881,19423,19795,14990,13838,13148,12117,10773,9664,9513,8914,8393,7433,6735,5791,4976,4359,3642,3113,10450
,2,37089,38375,39154,40864,41193,41245,41591,42479,43321,41418,41092,40144,40019,38415,37563,35956,34980,33981,33579,34997,37426,38947,39454,40846,41614,42098,44001,45144,45562,47042,46604,45366,44966,43750,44291,43776,41989,41299,40278,39929,39727,37350,34543,33209,33731,33470,33290,34401,35302,36520,36042,36447,36313,35935,35377,35411,34744,33642,32806,31488,29950,28665,27773,26426,25081,23655,23033,22204,21129,20591,20402,20017,20364,21463,16277,15126,14447,13368,11842,10671,10638,10064,9353,8361,7391,6762,5406,4869,4230,3489,11773
,3,35683,36629,37682,38279,39102,39218,39107,39869,40961,39072,38247,37367,37567,36205,35575,33858,32821,32649,32888,35088,39055,41089,42716,44808,45932,45476,47449,47720,48633,50582,49468,48291,48105,46628,47312,46589,44787,43551,42332,42199,41052,38695,35742,34379,34928,35122,35125,35913,36772,37952,37096,37278,37194,36880,36462,36490,35996,34898,34073,32266,31082,29932,29161,27677,26322,24824,24497,23725,22655,22026,22023,22029,22283,23708,17714,16915,16221,14971,13323,11772,11558,11107,10211,9196,8113,7426,6237,5226,4690,4165,13226
,4,32842,33203,34367,35100,35796,35460,35855,36218,36944,35758,35044,34109,34365,33425,32229,31353,30862,30625,31112,35681,39042,41453,42546,43990,44391,43905,45707,45820,46523,48373,46809,46188,45941,44293,44937,43726,42114,42050,40795,40870,39850,37908,35218,34158,34722,34312,34406,35589,37088,38229,37152,37701,37643,38275,38077,38127,37524,36787,35717,34478,32613,31864,30672,29688,28273,26946,26992,26189,25122,25198,25390,25419,26314,28089,21191,19904,19521,17724,15507,13575,13599,12770,11849,10653,9313,8574,7105,6292,5480,4598,15545
,5,31043,32283,32385,33466,34232,33651,33685,34922,35232,34649,34009,33260,33432,32486,31853,30798,30499,29409,29412,32554,35487,37594,38117,39276,39504,39300,40872,40656,41857,43145,42177,41726,41553,40136,40820,40351,38720,38876,38687,38673,37916,36630,34233,33515,33335,34301,34350,36407,37585,38150,37475,38103,38148,39586,39289,39222,38855,37920,36882,35430,34045,33279,32537,31223,30188,28869,28503,28077,26775,27011,27063,27784,28911,30699,23553,22372,21855,20004,16938,14691,14911,14351,13366,12139,10714,9459,7821,7020,6062,5112,17157
,6,29626,30647,31895,32480,33255,32976,33140,34160,34992,34304,33713,33388,33777,32410,32069,30670,30463,29567,29478,30958,34155,36168,36988,38376,38525,38106,39024,39007,39902,41435,40051,39143,39888,38261,38918,38065,37017,37315,37397,37935,37626,36527,34045,33199,34153,34160,34841,36347,38184,39078,38067,39069,38901,40366,40194,40328,40254,38770,38055,37111,34694,34243,33664,32102,30923,30068,29395,29659,28166,28403,28766,29878,31382,33258,25252,24361,23893,21547,18795,15816,16104,15468,14612,13126,11704,10193,9056,7521,6693,5613,18589
,7,27644,28581,29984,30366,31583,31463,31515,32148,33280,33071,32282,31920,32569,31616,31056,30014,29763,29256,29025,29131,30772,31972,33258,34351,34670,34131,34617,34437,35058,36128,35281,34315,34782,33677,34489,34563,33837,34777,34684,35418,35273,34551,32371,32141,32542,33622,34375,35975,38045,38922,37799,39020,39363,40437,40347,40310,40190,39441,38431,37105,35536,34519,33629,32873,31491,30268,30472,29895,28824,29050,29662,30755,32216,34993,26940,25480,25179,22453,19341,16664,17191,16463,15119,13707,12313,10794,9224,8122,6958,5939,19259
,8,26883,28015,29564,30203,31629,31298,31698,32649,33619,33682,32784,32579,33135,32334,31663,31005,30885,30288,29731,29619,29971,31287,31775,32753,33024,32498,32699,32435,33534,33842,32949,32645,33368,32052,32810,32945,32432,33130,33741,34462,35190,34523,32736,32681,32734,34210,34917,36752,38626,39440,38488,39627,39781,40957,40497,40915,40379,39410,38615,37664,35585,34884,34217,32548,31694,30433,30470,30169,28941,29478,30190,31710,32784,36438,27146,26392,25857,22780,19849,17043,17237,16574,15399,13950,12599,11164,9672,8464,7412,6249,20148
,9,25449,27164,28533,29496,31282,31621,31915,32528,34178,33973,33505,33682,34145,33279,32775,31416,31298,30652,29370,25802,26798,28355,29230,30218,30206,30053,30201,29566,30129,30428,30155,29967,30310,29483,30435,30596,30400,31380,32421,33099,34615,34141,32375,32347,32937,33977,35408,37195,38751,39557,38891,40168,39661,40478,40769,40686,40319,39302,38631,37035,34922,34436,34041,32428,31431,29924,30067,30090,29064,29693,29986,31310,33404,36933,27884,26453,26354,23396,20157,17419,17556,16829,15713,14531,13086,11517,9962,8623,7572,6397,20989
,10,22819,24826,26957,28575,30733,31243,31938,32916,34704,35326,35035,35207,36010,35792,34920,34041,34001,33066,32670,33337,28298,27467,27334,28393,27671,26513,25927,24695,24270,23963,24450,24219,24786,23861,24813,26395,26541,27935,29194,30623,33171,33169,32017,32626,33685,35300,36598,38008,39914,40813,38754,40242,40150,40944,40635,40845,40433,39852,38512,37021,35550,34490,33758,32375,31432,30096,30110,29632,29040,29179,29936,31038,33685,37063,27948,26989,26538,23653,20042,17336,17882,17368,16427,14937,13478,12180,10699,9249,8135,6870,22412
